wavenumber,GN 11-389,GN 11-400,GN 11-407,GN 11-411,GN 11-416,GN 11-419,GN 11-422,GN 11-423,GN 11-428,GN 11-434,GN 11-435,GN 11-460,HW 07-151,HW 11-137,HW 11-144,HW 11-146,HW 11-148,HW 11-149,HW 11-172,HW 11-173,HW 11-176,HW 11-179,HW 11-184,LG 09-384,LG 11-309,LG 11-393,LG 11-395,LG 11-397,LG 11-404,LG 11-412,LG 11-414,LG 11-418,LG 11-432,LG 11-433,LG 11-438,LG 11-461,SW 11-138,SW 11-139,SW 11-154,SW 11-158,SW 11-178,OCC 11-457,OCC 11-462,OCC 11-463,OMG 08-82,OMG 11-454,OMG 11-455,OMG 11-456,ONP 08-78,ONP 09-388,ONP 11-450,ONP 11-451,ONP 11-458,ONP 11-459,OFF 10-506,OFF 13-144,OFF 08-80,OFF 08-852
4000,0.000361218,0.00019913,0.000104377,0.000198334,0.0001921,0.00022849,8.71E-05,0.000236082,0.000111355,0.000448811,5.68E-05,0.00038489,0.000193467,0.000162527,8.76E-05,9.08E-05,0.00019634,0.000203176,0.000163898,0.000134386,0.000142864,0.000197112,0.000135751,0.000140945,0.000167319,0.000607918,0.000138173,0.000229072,0.000165108,8.70E-05,0.000104646,0.000367492,0.00023805,0.000625939,0.000476722,8.13E-05,0.000125434,0.000183262,0.000175266,0.000155694,0.000212229,0.000154564,0.00021782,0.000110729,0.000226932,0.000224008,0.000248391,0.000300067,0.000215351,0.000260197,0.000255083,0.000244395,0.000129103,0.000234966,0.000281311,0.000117525,0.000170145,0.000108268
3999,0.00043127,0.000378692,0.00020271,0.000230706,0.00024889,0.000283634,0.000138888,0.000192491,0.000140731,0.000388178,0.000154228,0.000342911,0.000213541,0.00016912,0.00019381,0.000201445,0.000182352,0.000253705,0.00021451,0.000210313,0.000149534,0.000177293,0.000222373,0.000104851,0.000238014,0.0006182,0.000273646,0.000341646,0.000255965,0.000270499,0.000166002,0.000355181,0.000352527,0.000637779,0.000421744,0.000152199,0.000150406,0.000265396,0.000257749,0.000241389,0.000234331,0.000188512,0.00020994,0.000247182,0.000259429,0.000262946,0.000238094,0.000261888,0.000188584,0.000192504,0.000261289,0.000243953,4.84E-05,0.00021689,0.000312838,0.000253376,0.000211664,0.000185652
3998,0.000501363,0.000558319,0.000320327,0.000263111,0.000277076,0.000338609,0.000222827,0.00014707,0.000219121,0.000324757,0.000263734,0.000298288,0.000179408,0.000142309,0.000269008,0.000276937,0.000146012,0.000223807,0.000239946,0.000220983,0.000113418,0.00014032,0.000274066,0.000111025,0.000269923,0.000654746,0.000435621,0.000404458,0.000347024,0.00023108,0.000203375,0.000341942,0.00044316,0.000651698,0.000390279,0.000223246,0.000128004,0.000290173,0.00028486,0.000253911,0.000200416,0.000216493,0.00015103,0.000328241,0.000301299,0.000254144,0.000227404,0.000221806,0.000148987,0.000137329,0.000267598,0.000243571,0,0.000197622,0.000283006,0.000337659,0.000194051,0.000208638
3997,0.000571242,0.000737771,0.000393832,0.000295387,0.000303075,0.000394009,0.000312758,0.000126741,0.000323146,0.000257918,0.000351826,0.000250256,0.000105659,8.46E-05,0.000321136,0.000297223,9.04E-05,0.000141297,0.000222995,0.000155381,5.35E-05,0.000101932,0.000270817,0.000145624,0.0002434,0.000697399,0.000569149,0.000436361,0.000369448,0.0002634,0.000227191,0.000294787,0.000494329,0.000510085,0.000383653,0.000276268,6.65E-05,0.000255322,0.00025016,0.000201042,0.000141211,0.000235815,7.26E-05,0.000359927,0.000345287,0.000202333,0.000216173,0.00017874,0.000109269,0.000118476,0.000273609,0.000243037,2.54E-06,0.000176635,0.000213057,0.000337389,0.000135276,0.000176694
3996,0.000666665,0.000914824,0.000407512,0.000340545,0.000343245,0.00038409,0.000375124,0.000115611,0.000411961,0.000225782,0.000406802,0.000176176,3.86E-05,4.46E-05,0.000342161,0.000296042,7.09E-05,6.06E-05,0.000193281,6.58E-05,5.10E-06,9.88E-05,0.000209251,0.000181284,0.000178142,0.000732088,0.000629626,0.000462049,0.000332252,0.000221696,0.000251478,0.000248316,0.00050996,0.000493077,0.000382765,0.000298063,4.04E-05,0.000192408,0.000228447,0.000138714,0.000105052,0.00024532,2.38E-05,0.000317381,0.00040251,0.000139864,0.000203858,0.000159831,8.16E-05,0.000136859,0.000315984,0.000261397,3.62E-05,0.000154009,0.000153067,0.000279798,0.000124023,0.000135758
3995,0.000704499,0.000987043,0.000407748,0.000368314,0.000397063,0.00033758,0.00038573,0.000143272,0.000447814,0.000258157,0.000446376,0.000136226,3.54E-05,6.95E-05,0.000355105,0.000286671,0.000117598,2.88E-05,0.000196444,4.34E-05,0,0.000156668,0.000143242,0.000204319,2.99E-05,0.000754741,0.000625253,0.000500493,0.000275458,0.000147907,0.000276281,0.00023289,0.000518857,0.000505225,0.000378679,0.000296588,6.27E-05,0.000141827,0.000214192,0.000155066,0.000127753,0.000255028,9.02E-05,0.000284164,0.00046446,0.000105172,0.000190586,0.000144778,7.32E-05,0.000174259,0.000349872,0.000277345,6.48E-05,0.000122236,0.00014715,0.000221976,0.000159318,0.00017687
3994,0.000611882,0.000915989,0.000452003,0.000353271,0.000438047,0.000294878,0.000341131,0.000185492,0.00042114,0.000348371,0.000493835,0.000142947,0.000102014,0.000172705,0.000356917,0.000301995,0.000210843,5.50E-05,0.000247805,7.66E-05,4.55E-05,0.000261263,0.000118577,0.000212196,6.86E-06,0.000761966,0.000595304,0.000539089,0.000235266,8.88E-05,0.000284171,0.000248594,0.000534785,0.000540358,0.000382988,0.00028525,0.00015168,0.00015221,0.000242998,0.000203637,0.000204404,0.000278488,0.000157638,0.000296485,0.000504724,0.000116834,0.000152617,0.000125303,8.30E-05,0.000210675,0.00034897,0.000276885,7.06E-05,9.91E-05,0.00019867,0.000231349,0.000256479,0.000231231
3993,0.000524831,0.000767446,0.00054531,0.000297169,0.000441285,0.000275505,0.000257944,0.000224656,0.000353165,0.000461497,0.00054591,0.000212795,0.000209557,0.000311912,0.000326405,0.000326617,0.00029355,0.00011208,0.000309523,0.000155381,0.000117283,0.00035988,0.000139479,0.00020659,3.12E-05,0.000748335,0.000573614,0.00055243,0.000221415,6.99E-05,0.000261982,0.000269293,0.000547789,0.000577364,0.000410701,0.000271559,0.000253317,0.000151611,0.00027023,0.000265917,0.000284179,0.000313142,0.00023153,0.000329209,0.000500847,0.00016718,0.00012427,0.000119491,0.000105742,0.000238552,0.000328132,0.000263072,6.84E-05,0.000110107,0.000265301,0.000218601,0.000352388,0.000303299
3992,0.000501861,0.000657573,0.000631854,0.000229782,0.000405393,0.000271767,0.000163056,0.000242128,0.000274228,0.000516037,0.000567555,0.000298088,0.000293727,0.000408727,0.000246299,0.000321317,0.000315836,0.000142934,0.000320998,0.000213388,0.000175255,0.000394427,0.000166212,0.000192077,6.93E-05,0.000720352,0.000564432,0.000530958,0.00022367,8.86E-05,0.000219126,0.000278358,0.000543574,0.000598181,0.000461642,0.000255323,0.000301159,0.000139384,0.000241991,0.000275935,0.00030272,0.00033009,0.000261205,0.000317637,0.000456488,0.000236743,0.000138258,0.000159506,0.000138097,0.000266584,0.000330143,0.000254532,8.93E-05,0.000164136,0.000291637,0.000182566,0.000378588,0.000338363
3991,0.000565397,0.000595777,0.000649757,0.000186171,0.000354749,0.000266742,8.36E-05,0.000235123,0.000204524,0.000608854,0.000523667,0.000364368,0.00031249,0.000405068,0.000131596,0.000261165,0.000271608,0.000128807,0.000255528,0.000202968,0.000194614,0.000340058,0.000154491,0.00018013,9.24E-05,0.000702134,0.000552841,0.000495246,0.000233894,0.000130374,0.000182841,0.000288264,0.000527429,0.000600933,0.000518582,0.000238433,0.000266657,0.000103189,0.000155114,0.000209351,0.000234612,0.000293442,0.000227454,0.00022366,0.000402914,0.000309304,0.000196135,0.000263609,0.000181749,0.000310993,0.000388735,0.000271378,0.000152256,0.000248714,0.000254669,0.000115594,0.000314484,0.000303839
